Country,PSMSL_site,NOAA_name,PSMSLID,NOAAID,lat,lon
United States,BOSTON,Boston,235,8443970,42.353,-71.053
United States,LOS_ANGELES,Los Angeles,245,9410660,33.72,-118.272
United States,MAYPORT,Mayport (Bar Pilots Dock),316,8720218,30.393,-81.432
United States,SAN_FRANCISCO,San Francisco,10,9414290,38.807,-122.465
Phillippines,"MANILA, S. HARBOUR",NA,145,NA,14.583,120.967
China,QUARRY BAY,NA,1674,NA,22.291,114.213
Italy,SALERNO,NA,2086,NA,40.677,14.751
Greece,ALEXANDROUPOLIS,NA,1238,NA,40.844,25.878
Spain,BARCELONA,NA,1811,NA,41.342,2.166
Spain,SINES,NA,1456,NA,37.95,-8.883
Spain,FUERTEVENTURA,NA,2048,NA,28.493,-13.858
South Africa,PORT ELIZABETH,NA,820,NA,-33.951,25.63
Chile,IQUIQUE,NA,1963,NA,-20.217,-70.167
Singapore,SULTAN SHOAL,NA,1248,NA,1.233,103.65
France,LES SABLES D OLONEE,NA,1747,NA,46.498,-1.794
Brazil,ILHA FISCAL,NA,1032,NA,-22.897,-43.167
India,MORMUGAO,NA,1249,NA,15.417,73.8
New Zealand,TAURANGA,NA,1590,NA,-37.641,176.181
South Korea,SOKCHO,NA,2257,NA,38.199,128.613
United Kingdom,NORTH SHIELDS,NA,95,NA,55.007,-1.44
Sweden,SKANOR,NA,2108,NA,55.417,12.829
Australia,BROOME,NA,1159,NA,-18.001,122.219
