Country,PSMSL_site,NOAA_name,PSMSL ID,NOAAID,lat,lon
United States,SAN_FRANCISCO,San Francisco,10,9414290,38.807,-122.465
Netherlands,HOEK_VAN_HOLLAND,NaN,22,NaN,51.9775,4.12
United States,HONOLULU,Honolulu,155,1612340,21.31,-157.87
United States,KEY_WEST,Key West,188,8724580,24.55,-81.81
Russia,TUAPSE,NaN,215,NaN,44.1,39.067
United States,BOSTON,Boston,235,8443970,42.353,-71.053
United States,LOS_ANGELES,Los Angeles,245,9410660,33.72,-118.272
Australia,PORT_ADELAIDE (OUTER HARBOR),NaN,448,NaN,-34.78,138.481
Marshall Islands,KWAJALEIN,NaN,513,NaN,8.732,167.735
Australia,TOWNSVILLE I,NaN,637,NaN,-19.25,-1.052
United States,MAGUEYES_ISLAND,Magueyes Island,759,9759110,17.97,-67.05
Croatia,ROVINJ,NaN,761,NaN,45.083,13.628
Vietnam,HONDAU,NaN,841,NaN,20.667,106.8
South Korea,SOKCHO,NaN,1365,NaN,38.207,128.594
Chile,IQUIQUE II,NaN,2261,NaN,-20.204,-70.148
